#{"t_start": 1773868780.175032, "env_id": "None"}
r,l,t
-54.990266,180,55.238054
-60.010523,180,115.765779
-57.39077,180,176.213591
-60.190436,180,243.268677
-51.864397,180,312.393567
-56.155292,180,387.679803
-49.791543,180,457.330394
-59.62087,180,523.167456
-56.785467,180,595.982896
-56.759293,180,673.571291
-62.333263,180,745.716563
-50.566605,180,813.09209
-56.26642,180,871.332474
-53.184784,180,927.04456
-60.281015,180,983.425804
-56.998147,180,1042.625986
-55.640808,180,1127.502095
